127.0.0.1 - - [03/Dec/2018:16:52:09 +0000] "GET /2018/12/03/hello-world/ HTTP/1.0" 200 57288 "http://test2.local/2018/12/03/hello-world/" "WordPress/4.9.8; http://test2.local"
127.0.0.1 - - [03/Dec/2018:16:52:11 +0000] "POST /wp-cron.php?doing_wp_cron=1543855930.7643990516662597656250 HTTP/1.0" 499 0 "http://test2.local/wp-cron.php?doing_wp_cron=1543855930.7643990516662597656250" "WordPress/4.9.8; http://test2.local"
127.0.0.1 - - [03/Dec/2018:16:53:26 +0000] "GET / HTTP/1.0" 200 53113 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [03/Dec/2018:16:53:28 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://test2.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [03/Dec/2018:16:53:42 +0000] "GET /wp-admin HTTP/1.0" 301 178 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [03/Dec/2018:16:53:42 +0000] "GET /wp-admin/ HTTP/1.0" 302 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [03/Dec/2018:16:53:42 +0000] "GET /wp-login.php?redirect_to=http%3A%2F%2Ftest2.local%2Fwp-admin%2F&reauth=1 HTTP/1.0" 200 2236 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [03/Dec/2018:16:53:42 +0000] "GET /wp-admin/load-styles.php?c=0&dir=ltr&load%5B%5D=dashicons,buttons,forms,l10n,login&ver=4.9.8 HTTP/1.0" 200 104364 "http://test2.local/wp-login.php?redirect_to=http%3A%2F%2Ftest2.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [03/Dec/2018:16:53:43 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://test2.local/wp-login.php?redirect_to=http%3A%2F%2Ftest2.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [03/Dec/2018:16:54:03 +0000] "POST /wp-login.php HTTP/1.0" 302 0 "http://test2.local/wp-login.php?redirect_to=http%3A%2F%2Ftest2.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [03/Dec/2018:16:54:04 +0000] "GET /wp-admin/ HTTP/1.0" 200 57759 "http://test2.local/wp-login.php?redirect_to=http%3A%2F%2Ftest2.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [03/Dec/2018:16:54:04 +0000] "GET /wp-admin/load-scripts.php?c=0&load%5B%5D=jquery-core,jquery-migrate,utils&ver=4.9.8 HTTP/1.0" 200 109068 "http://test2.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [03/Dec/2018:16:54:04 +0000] "GET /wp-admin/load-styles.php?c=0&dir=ltr&load%5B%5D=dashicons,admin-bar,common,forms,admin-menu,dashboard,list-tables,edit,revisions,media,themes,about,nav-menus,wp-pointer,widgets&load%5B%5D=,site-icon,l10n,buttons,wp-auth-check&ver=4.9.8 HTTP/1.0" 200 337409 "http://test2.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [03/Dec/2018:16:54:05 +0000] "GET /wp-admin/load-scripts.php?c=0&load%5B%5D=hoverIntent,common,admin-bar,wp-ajax-response,jquery-color,wp-lists,quicktags,jquery-query,admin-comments,jquery-ui-core,jquery-&load%5B%5D=ui-widget,jquery-ui-mouse,jquery-ui-sortable,postbox,underscore,wp-util,wp-a11y,dashboard,thickbox,plugin-install,updates,shortc&load%5B%5D=ode,media-upload,svg-painter,heartbeat,wp-auth-check,wplink,jquery-ui-position,jquery-ui-menu,jquery-ui-autocomplete&ver=4.9.8 HTTP/1.0" 200 245287 "http://test2.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [03/Dec/2018:16:54:05 +0000] "POST /wp-cron.php?doing_wp_cron=1543856045.5378320217132568359375 HTTP/1.0" 200 0 "http://test2.local/wp-cron.php?doing_wp_cron=1543856045.5378320217132568359375" "WordPress/4.9.8; http://test2.local"
127.0.0.1 - - [03/Dec/2018:16:54:05 +0000] "GET /wp-admin/admin-ajax.php?action=wp-compression-test&test=1&_ajax_nonce=97de530724&1543856046907 HTTP/1.0" 200 1114 "http://test2.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [03/Dec/2018:16:54:05 +0000] "GET /wp-admin/admin-ajax.php?action=wp-compression-test&test=2&_ajax_nonce=97de530724&1543856047154 HTTP/1.0" 200 572 "http://test2.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [03/Dec/2018:16:54:06 +0000] "GET /wp-admin/admin-ajax.php?action=wp-compression-test&test=yes&_ajax_nonce=97de530724&1543856047234 HTTP/1.0" 200 1 "http://test2.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [03/Dec/2018:16:54:06 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://test2.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [03/Dec/2018:16:54:06 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 540 "http://test2.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [03/Dec/2018:16:54:09 +0000] "GET /wp-admin/admin-ajax.php?action=dashboard-widgets&widget=dashboard_primary&pagenow=dashboard HTTP/1.0" 200 732 "http://test2.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
127.0.0.1 - - [03/Dec/2018:16:54:20 +0000] "GET /wp-admin/themes.php HTTP/1.0" 200 43850 "http://test2.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"
